County ,Region,Urban Clusters,Cluster Size
Aitkin,Northland,Rural,0
Anoka,Twin Cities,Urban  ,0
Becker,West Central,Urban Cluster  ,9000
Beltrami,Northwest,Urban Cluster,15434
Benton,Central,Urban Cluster,12773
Big Stone,Southwest,Rural,0
Blue Earth,Southern,Urban,0
Brown,Southern,Urban Cluster,13522
Carlton,Northland,Urban Cluster,12124
Carver,Twin Cities,Urban,0
Cass,Central,Rural,0
Chippewa,Southwest,Rural,0
Chisago,Central,Urban,0
Clay,West Central,Urban,0
Clearwater,Northwest,Rural,0
Cook,Northland,Rural,0
Cottonwood,Southwest,Rural,0
Crow Wing,Central,Urban,0
Dakota,Twin Cities,Urban,0
Dodge,Southern,Urban Cluster,5931
Douglas,West Central,Urban Cluster,11070
Faribault,Southern,Rural,0
Fillmore,Southern,Urban Cluster,2479
Freeborn,Southern,Urban Cluster,18016
Goodhue,Southern,Urban Cluster,16459
Grant,West Central,Rural ,0
Hennepin,Twin Cities,Urban,0
Houston,Southern,Urban Cluster,2868
Hubbard,Northwest,Urban Cluster,3709
Isanti,Central,Urban Cluster,8111
Itasca,Northland,Urban Cluster,10869
Jackson,Southwest,Urban Cluster,3299
Kanabec,Central,Urban Cluster,3571
Kandiyohi,Southwest,Urban Cluster,19610
Kittson,Northwest,Rural,0
Koochiching,Northland,Urban Cluster,6424
Lac qui Parle,Southwest,Rural,0
Lake,Northland,Urban Cluster,3745
Lake of the Woods,Northwest,Rural ,0
Le Sueur,Southern,Urban Cluster,4058
Lincoln,Southwest,Rural,0
Lyon,Southwest,Urban Cluster,13680
Mahnomen,Northwest,Rural,0
Marshall,Northwest,Rural,0
Martin,Southern,Urban Cluster,10666
McLeod,Southwest,Urban Cluster,14178
Meeker,Southwest,Urban Cluster,6726
Mille Lacs,Central,Urban Cluster,2946
Morrison,Central,Urban Cluster,8343
Mower,Southern,Urban Cluster,24718
Murray,Southwest,Urban Cluster,2153
Nicollet,Southern,Urban Cluster,13394
Nobles,Southwest,Urban Cluster,12764
Norman,Northwest,Rural,0
Olmsted,Southern,Urban,0
Otter Tail,West Central,Urban Cluster,13138
Pennington,Northwest,Urban Cluster,8573
Pine,Central,Urban Cluster,2849
Pipestone,Southwest,Urban Cluster,4317
Polk,Northwest,Urban Cluster,8601
Pope,West Central,Urban Cluster,2564
Ramsey,Twin Cities,Urban,0
Red Lake,Northwest,Rural,0
Redwood,Southwest,Urban Cluster,5254
Renville,Southwest,Rural,0
Rice,Southern,Urban Cluster,23352
Rock,Southwest,Urban Cluster,4745
Roseau,Northwest,Urban Cluster,2633
Scott,Twin Cities,Urban,0
Sherburne,Central,Urban Cluster,22974
Sibley,Southern,Rural,0
St. Louis,Northland,Urban,0
Stearns,Central,Urban,0
Steele,Southern,Urban Cluster,25599
Stevens,West Central,Urban Cluster,5286
Swift,Southwest,Urban Cluster,3240
Todd,Central,Urban Cluster,3458
Traverse,West Central,Rural,0
Wabasha,Southern,Urban Cluster,2521
Wadena,Central,Urban Cluster,4088
Waseca,Southern,Urban Cluster,9410
Washington,Twin Cities,Urban,0
Watonwan,Southern,Urban Cluster,4605
Wilkin,West Central,Rural,0
Winona,Southern,Urban Cluster,27592
Wright,Central,Urban Cluster,16399
Yellow Medicine,Southwest,Rural,0
